subject,filename,pages,size_mb,text_layer_status,ocr_recommendation,absolute_path
方剂学,27学霸笔记—方剂学.pdf,160,360.2,not_detected,needed_for_full_text_search,C:\Users\41405\Documents\考研数据skill制作\27学霸笔记\27学霸笔记—方剂学.pdf
针灸与人文,27学霸笔记—针灸与人文.pdf,135,294.3,not_detected,needed_for_full_text_search,C:\Users\41405\Documents\考研数据skill制作\27学霸笔记\27学霸笔记—针灸与人文.pdf
中药学,27学霸笔记—中药学.pdf,89,175.6,not_detected,needed_for_full_text_search,C:\Users\41405\Documents\考研数据skill制作\27学霸笔记\27学霸笔记—中药学.pdf
中医基础理论,27学霸笔记—中医基础理论.pdf,112,253.8,not_detected,needed_for_full_text_search,C:\Users\41405\Documents\考研数据skill制作\27学霸笔记\27学霸笔记—中医基础理论.pdf
中医内科学,27学霸笔记—中医内科学.pdf,162,354.5,not_detected,needed_for_full_text_search,C:\Users\41405\Documents\考研数据skill制作\27学霸笔记\27学霸笔记—中医内科学.pdf
中医诊断学,27学霸笔记—中医诊断学.pdf,110,237.7,not_detected,needed_for_full_text_search,C:\Users\41405\Documents\考研数据skill制作\27学霸笔记\27学霸笔记—中医诊断学.pdf
